------ Plasma information from VMEC ----
np     iota_edge       phip_edge       curpol
     2  0.000000000000E+00  0.000000000000E+00  3.230736051362E+00

------ Current Surface: Coil-Plasma separation =   1.000000000000E-01 -----
Number of fourier modes in table
        1201
Table of fourier coefficients
m,n,crc2,czs2,crs2,czc2
      1    22  6.004391165038E-06  3.373741827313E-06  0.000000000000E+00  0.000000000000E+00
      1    21  2.029022010689E-06  5.254189265929E-06  0.000000000000E+00  0.000000000000E+00
      1    20  8.473115852853E-07 -6.708081623662E-07  0.000000000000E+00  0.000000000000E+00
      1    19  3.492731832107E-07  1.977390309789E-06  0.000000000000E+00  0.000000000000E+00
      1    18  4.106331932991E-06 -4.593164676001E-07  0.000000000000E+00  0.000000000000E+00
      1    17  1.057442953106E-05 -4.778238932943E-06  0.000000000000E+00  0.000000000000E+00
      1    16 -7.330188696848E-06 -4.007628350509E-06  0.000000000000E+00  0.000000000000E+00
      1    15  1.166286812178E-05  2.112819678075E-05  0.000000000000E+00  0.000000000000E+00
      1    14  3.306897704799E-05 -3.168340452752E-05  0.000000000000E+00  0.000000000000E+00
      1    13  6.912675495048E-05 -6.004345885868E-05  0.000000000000E+00  0.000000000000E+00
      1    12  4.564720577587E-05 -5.985428213000E-05  0.000000000000E+00  0.000000000000E+00
      1    11  8.688924138138E-05 -4.276899962978E-05  0.000000000000E+00  0.000000000000E+00
      1    10  2.610427967703E-04 -2.036881193675E-04  0.000000000000E+00  0.000000000000E+00
      1     9  8.421536897415E-04 -9.197031653346E-04  0.000000000000E+00  0.000000000000E+00
      1     8  1.325944042230E-03 -2.101246006450E-03  0.000000000000E+00  0.000000000000E+00
      1     7  3.074212129145E-03 -4.976692562871E-03  0.000000000000E+00  0.000000000000E+00
      1     6  1.277356922286E-03 -5.132929277576E-03  0.000000000000E+00  0.000000000000E+00
      1     5  4.024432009254E-03 -8.132925308265E-03  0.000000000000E+00  0.000000000000E+00
      1     4 -1.260335082724E-02  2.027561897772E-02  0.000000000000E+00  0.000000000000E+00
      1     3 -3.802637869508E-02 -4.323490463397E-02  0.000000000000E+00  0.000000000000E+00
      1     2 -1.562940980053E-01 -1.589425770096E-01  0.000000000000E+00  0.000000000000E+00
      1     1  4.523386997767E-02  4.537084697843E-02  0.000000000000E+00  0.000000000000E+00
      1     0 -1.222562163299E-02 -1.273692629159E-02  0.000000000000E+00  0.000000000000E+00
      1    -1  8.618291638332E-03  8.729768675811E-03  0.000000000000E+00  0.000000000000E+00
      1    -2  3.517561664642E-04  4.119980340276E-04  0.000000000000E+00  0.000000000000E+00
      1    -3  7.214727057783E-04  7.509435931181E-04  0.000000000000E+00  0.000000000000E+00
      1    -4 -2.098765091211E-04 -2.295220556995E-04  0.000000000000E+00  0.000000000000E+00
      1    -5 -2.508792594053E-04 -2.402049510086E-04  0.000000000000E+00  0.000000000000E+00
      1    -6 -8.071605219753E-05 -7.239055818073E-05  0.000000000000E+00  0.000000000000E+00
      1    -7  7.501217109270E-06 -1.352543316295E-06  0.000000000000E+00  0.000000000000E+00
      1    -8  3.588472814490E-05  2.907257793651E-05  0.000000000000E+00  0.000000000000E+00
      1    -9 -7.009687391934E-06 -1.020405717184E-05  0.000000000000E+00  0.000000000000E+00
      1   -10 -1.263440886691E-05  7.599998259804E-06  0.000000000000E+00  0.000000000000E+00
      1   -11 -9.233887539796E-06 -9.658104636497E-06  0.000000000000E+00  0.000000000000E+00
      1   -12  2.047823350004E-07  7.787405371435E-06  0.000000000000E+00  0.000000000000E+00
      1   -13 -2.560870588277E-06 -1.197538455787E-05  0.000000000000E+00  0.000000000000E+00
      1   -14 -7.042245021062E-06  9.160202780729E-06  0.000000000000E+00  0.000000000000E+00
      1   -15  1.944876861858E-06  1.163734684539E-05  0.000000000000E+00  0.000000000000E+00
      1   -16 -1.148987382689E-05 -1.141430106046E-05  0.000000000000E+00  0.000000000000E+00
      1   -17 -3.073824181902E-06  7.517877460919E-07  0.000000000000E+00  0.000000000000E+00
      1   -18 -3.748560798436E-06 -1.959653854395E-06  0.000000000000E+00  0.000000000000E+00
      1   -19 -1.093601769923E-06 -2.682464235080E-07  0.000000000000E+00  0.000000000000E+00
      1   -20  4.637034223485E-07  1.076991671854E-06  0.000000000000E+00  0.000000000000E+00
      1   -21  1.480259334753E-07  4.170827590975E-07  0.000000000000E+00  0.000000000000E+00
      1   -22  1.358627327077E-07  3.385817718313E-07  0.000000000000E+00  0.000000000000E+00
      1   -23 -3.296113143981E-10  1.946673489667E-07  0.000000000000E+00  0.000000000000E+00
      1   -24  5.989175673086E-08  1.064550973111E-07  0.000000000000E+00  0.000000000000E+00
      2    24 -4.143145238078E-06 -4.560676252296E-07  0.000000000000E+00  0.000000000000E+00
      2    23 -2.956544193696E-06  9.266088623775E-08  0.000000000000E+00  0.000000000000E+00
      2    22 -5.107030633797E-06  3.189215750412E-06  0.000000000000E+00  0.000000000000E+00
      2    21 -3.723116345691E-06  3.447569910284E-06  0.000000000000E+00  0.000000000000E+00
      2    20  8.858798719956E-07  1.935331875933E-06  0.000000000000E+00  0.000000000000E+00
      2    19 -2.110866623956E-05  3.093061904333E-06  0.000000000000E+00  0.000000000000E+00
      2    18 -3.690818829041E-05  4.954595612401E-05  0.000000000000E+00  0.000000000000E+00
      2    17 -3.528007576981E-05  6.960755308940E-05  0.000000000000E+00  0.000000000000E+00
      2    16 -2.922295433379E-05  5.575808101824E-05  0.000000000000E+00  0.000000000000E+00
      2    15 -3.691013639837E-05 -1.990719647548E-05  0.000000000000E+00  0.000000000000E+00
      2    14 -1.574282567743E-04  7.835236871004E-05  0.000000000000E+00  0.000000000000E+00
      2    13 -2.456867500268E-04  2.997207388881E-04  0.000000000000E+00  0.000000000000E+00
      2    12 -3.398522758492E-04  6.622405042402E-04  0.000000000000E+00  0.000000000000E+00
      2    11 -3.776364932204E-04  1.033704631249E-03  0.000000000000E+00  0.000000000000E+00
      2    10  3.848158057186E-04  6.348198334803E-04  0.000000000000E+00  0.000000000000E+00
      2     9  1.566844507283E-04  1.367966498698E-03  0.000000000000E+00  0.000000000000E+00
      2     8  3.972730537111E-03  9.400119320674E-04  0.000000000000E+00  0.000000000000E+00
      2     7  5.796315511358E-03  7.397341528359E-03  0.000000000000E+00  0.000000000000E+00
      2     6  1.016522232621E-02  8.586366114602E-03  0.000000000000E+00  0.000000000000E+00
      2     5 -4.189418298046E-03 -4.170658330470E-03  0.000000000000E+00  0.000000000000E+00
      2     4 -5.527577344648E-03 -4.936116838475E-03  0.000000000000E+00  0.000000000000E+00
      2     3  8.562682256302E-04  6.722615211216E-04  0.000000000000E+00  0.000000000000E+00
      2     2 -1.649460990355E-03 -1.382929822498E-03  0.000000000000E+00  0.000000000000E+00
      2     1  1.115236105880E-03  1.097623443002E-03  0.000000000000E+00  0.000000000000E+00
      2     0 -1.703210955231E-04 -2.263781189106E-04  0.000000000000E+00  0.000000000000E+00
      2    -1  3.922625136769E-05  9.364975107178E-06  0.000000000000E+00  0.000000000000E+00
      2    -2 -3.610876438229E-05 -4.983727248240E-05  0.000000000000E+00  0.000000000000E+00
      2    -3 -4.507680455840E-06  1.520643455769E-06  0.000000000000E+00  0.000000000000E+00
      2    -4  4.208969857827E-05  4.111658291729E-05  0.000000000000E+00  0.000000000000E+00
      2    -5  5.987441899432E-06  1.799470515841E-06  0.000000000000E+00  0.000000000000E+00
      2    -6  2.698880133655E-07  1.318788365413E-06  0.000000000000E+00  0.000000000000E+00
      2    -7  5.413413683124E-06  1.712162059238E-06  0.000000000000E+00  0.000000000000E+00
      2    -8  1.363089182995E-05  1.081644902319E-05  0.000000000000E+00  0.000000000000E+00
      2    -9  1.000347631057E-05  4.292418789624E-06  0.000000000000E+00  0.000000000000E+00
      2   -10  7.739142080688E-06  5.101412766558E-06  0.000000000000E+00  0.000000000000E+00
      2   -11  1.188038109834E-05  9.376083423232E-06  0.000000000000E+00  0.000000000000E+00
      2   -12  7.874826970226E-06  8.026115226656E-06  0.000000000000E+00  0.000000000000E+00
      2   -13  1.607073027533E-05  1.006639531428E-05  0.000000000000E+00  0.000000000000E+00
      2   -14  4.961072669191E-06  5.453507514524E-06  0.000000000000E+00  0.000000000000E+00
      2   -15  2.284029346495E-06  3.472295034605E-06  0.000000000000E+00  0.000000000000E+00
      2   -16 -6.524622609883E-07 -6.756030471200E-07  0.000000000000E+00  0.000000000000E+00
      2   -17 -3.497694507114E-07 -4.052846360500E-07  0.000000000000E+00  0.000000000000E+00
      2   -18 -1.335106935553E-07 -3.041522086817E-07  0.000000000000E+00  0.000000000000E+00
      2   -19 -5.783638357321E-07 -3.865672877903E-07  0.000000000000E+00  0.000000000000E+00
      2   -20 -2.155684033702E-07 -5.528451296696E-09  0.000000000000E+00  0.000000000000E+00
      2   -21 -2.738365696911E-07 -2.761883686068E-07  0.000000000000E+00  0.000000000000E+00
      2   -22 -1.364773076334E-07 -1.023583838824E-07  0.000000000000E+00  0.000000000000E+00
      2   -23 -3.238180314448E-08 -1.536875587927E-08  0.000000000000E+00  0.000000000000E+00
      2   -24 -9.436751232438E-08  4.971584086166E-08  0.000000000000E+00  0.000000000000E+00
      3    24  6.258134599369E-06 -5.063160143882E-06  0.000000000000E+00  0.000000000000E+00
      3    23  1.683905296380E-05 -1.632634231384E-05  0.000000000000E+00  0.000000000000E+00
      3    22  2.314470255961E-05 -3.713853310059E-05  0.000000000000E+00  0.000000000000E+00
      3    21  3.726851034659E-05 -3.554435092114E-05  0.000000000000E+00  0.000000000000E+00
      3    20  4.983949472564E-05 -3.682486798004E-05  0.000000000000E+00  0.000000000000E+00
