Problem type:
least_squares
nparams:
6
function_evaluation,seconds,x(0),x(1),x(2),x(3),x(4),x(5),objective_function
    18,  1.2610e+00,  7.4015993081299136e-01,  1.8114136802188797e-03, -7.5235458858469173e-01,  7.3511893042724555e-04,  1.2398733727166198e+00,  2.2874039760792564e-01,  1.2592728128773504e+02
    19,  1.3306e+00,  7.4015994571415256e-01,  1.8114136802188797e-03, -7.5235458858469173e-01,  7.3511893042724555e-04,  1.2398733727166198e+00,  2.2874039760792564e-01,  1.2592728106254532e+02
    20,  1.4075e+00,  7.4015993081299136e-01,  1.8114285813800736e-03, -7.5235458858469173e-01,  7.3511893042724555e-04,  1.2398733727166198e+00,  2.2874039760792564e-01,  1.2592728400430096e+02
    21,  1.4749e+00,  7.4015993081299136e-01,  1.8114136802188797e-03, -7.5235460348585292e-01,  7.3511893042724555e-04,  1.2398733727166198e+00,  2.2874039760792564e-01,  1.2592728157632163e+02
    22,  1.5423e+00,  7.4015993081299136e-01,  1.8114136802188797e-03, -7.5235458858469173e-01,  7.3513383158843940e-04,  1.2398733727166198e+00,  2.2874039760792564e-01,  1.2592728638320574e+02
    23,  1.6205e+00,  7.4015993081299136e-01,  1.8114136802188797e-03, -7.5235458858469173e-01,  7.3511893042724555e-04,  1.2398733911921729e+00,  2.2874039760792564e-01,  1.2592727977740441e+02
    24,  1.6903e+00,  7.4015993081299136e-01,  1.8114136802188797e-03, -7.5235458858469173e-01,  7.3511893042724555e-04,  1.2398733727166198e+00,  2.2874041250908683e-01,  1.2592728166915253e+02
    25,  1.7635e+00,  7.4015921434249576e-01,  1.5323043643803538e-03, -7.5232348523537207e-01, -5.3709594424906828e-04,  1.2403953802165877e+00,  2.2857654981319006e-01,  1.2594569530302302e+02
    26,  1.8351e+00,  7.4016983917625223e-01,  1.6667373096085508e-03, -7.5233931577458601e-01,  4.2581126224530371e-04,  1.2399579833085135e+00,  2.2871387804003884e-01,  1.2579895134233502e+02
    27,  1.9059e+00,  7.4016985407741342e-01,  1.6667373096085508e-03, -7.5233931577458601e-01,  4.2581126224530371e-04,  1.2399579833085135e+00,  2.2871387804003884e-01,  1.2579895127350281e+02
    28,  1.9738e+00,  7.4016983917625223e-01,  1.6667522107697446e-03, -7.5233931577458601e-01,  4.2581126224530371e-04,  1.2399579833085135e+00,  2.2871387804003884e-01,  1.2579895326654628e+02
    29,  2.0419e+00,  7.4016983917625223e-01,  1.6667373096085508e-03, -7.5233933067574721e-01,  4.2581126224530371e-04,  1.2399579833085135e+00,  2.2871387804003884e-01,  1.2579895151592839e+02
    30,  2.1099e+00,  7.4016983917625223e-01,  1.6667373096085508e-03, -7.5233931577458601e-01,  4.2582616340649756e-04,  1.2399579833085135e+00,  2.2871387804003884e-01,  1.2579895567843403e+02
    31,  2.1779e+00,  7.4016983917625223e-01,  1.6667373096085508e-03, -7.5233931577458601e-01,  4.2581126224530371e-04,  1.2399580017853273e+00,  2.2871387804003884e-01,  1.2579894982519882e+02
    32,  2.2459e+00,  7.4016983917625223e-01,  1.6667373096085508e-03, -7.5233931577458601e-01,  4.2581126224530371e-04,  1.2399579833085135e+00,  2.2871389294120004e-01,  1.2579895172774887e+02
    33,  2.3130e+00,  7.4016086517909718e-01,  1.4978902672732651e-03, -7.5232621250743015e-01, -2.1193659290106247e-04,  1.2401986918703725e+00,  2.2863798239240218e-01,  1.2574381700755450e+02
    34,  2.3793e+00,  7.4016088008025838e-01,  1.4978902672732651e-03, -7.5232621250743015e-01, -2.1193659290106247e-04,  1.2401986918703725e+00,  2.2863798239240218e-01,  1.2574381786375444e+02
    35,  2.4464e+00,  7.4016086517909718e-01,  1.4979051684344590e-03, -7.5232621250743015e-01, -2.1193659290106247e-04,  1.2401986918703725e+00,  2.2863798239240218e-01,  1.2574380388339810e+02
    36,  2.5133e+00,  7.4016086517909718e-01,  1.4978902672732651e-03, -7.5232622740859134e-01, -2.1193659290106247e-04,  1.2401986918703725e+00,  2.2863798239240218e-01,  1.2574381681754436e+02
    37,  2.5791e+00,  7.4016086517909718e-01,  1.4978902672732651e-03, -7.5232621250743015e-01, -2.1195149406225632e-04,  1.2401986918703725e+00,  2.2863798239240218e-01,  1.2574382775073478e+02
    38,  2.6462e+00,  7.4016086517909718e-01,  1.4978902672732651e-03, -7.5232621250743015e-01, -2.1193659290106247e-04,  1.2401987103507730e+00,  2.2863798239240218e-01,  1.2574381593692230e+02
    39,  2.7133e+00,  7.4016086517909718e-01,  1.4978902672732651e-03, -7.5232621250743015e-01, -2.1193659290106247e-04,  1.2401986918703725e+00,  2.2863799729356338e-01,  1.2574381719801714e+02
    40,  2.7814e+00,  7.4014627735237282e-01,  2.0609340734905586e-03, -7.5229979499948507e-01,  2.1150745315192386e-04,  1.2402420563145939e+00,  2.2862959862999346e-01,  1.2576507458201097e+02
    41,  2.8490e+00,  7.4015302161259477e-01,  1.6351435615957622e-03, -7.5232646864382391e-01, -1.0144799593587277e-04,  1.2402080326533917e+00,  2.2863598095417900e-01,  1.2564264106163824e+02
    42,  2.9159e+00,  7.4015303651375597e-01,  1.6351435615957622e-03, -7.5232646864382391e-01, -1.0144799593587277e-04,  1.2402080326533917e+00,  2.2863598095417900e-01,  1.2564264096045203e+02
    43,  2.9824e+00,  7.4015302161259477e-01,  1.6351584627569561e-03, -7.5232646864382391e-01, -1.0144799593587277e-04,  1.2402080326533917e+00,  2.2863598095417900e-01,  1.2564264109329271e+02
    44,  3.0472e+00,  7.4015302161259477e-01,  1.6351435615957622e-03, -7.5232648354498510e-01, -1.0144799593587277e-04,  1.2402080326533917e+00,  2.2863598095417900e-01,  1.2564264124056513e+02
    45,  3.1120e+00,  7.4015302161259477e-01,  1.6351435615957622e-03, -7.5232646864382391e-01, -1.0146289709706662e-04,  1.2402080326533917e+00,  2.2863598095417900e-01,  1.2564263870625373e+02
    46,  3.1775e+00,  7.4015302161259477e-01,  1.6351435615957622e-03, -7.5232646864382391e-01, -1.0144799593587277e-04,  1.2402080511339315e+00,  2.2863598095417900e-01,  1.2564263951779446e+02
    47,  3.2438e+00,  7.4015302161259477e-01,  1.6351435615957622e-03, -7.5232646864382391e-01, -1.0144799593587277e-04,  1.2402080326533917e+00,  2.2863599585534020e-01,  1.2564264146339940e+02
    48,  3.3130e+00,  7.4015884493974560e-01,  1.6451850127424243e-03, -7.5231563646565425e-01, -2.5203007551941791e-04,  1.2402945802880299e+00,  2.2860802552057227e-01,  1.2563854100716532e+02
    49,  3.3797e+00,  7.4015885984090679e-01,  1.6451850127424243e-03, -7.5231563646565425e-01, -2.5203007551941791e-04,  1.2402945802880299e+00,  2.2860802552057227e-01,  1.2563854177445749e+02
    50,  3.4468e+00,  7.4015884493974560e-01,  1.6451999139036181e-03, -7.5231563646565425e-01, -2.5203007551941791e-04,  1.2402945802880299e+00,  2.2860802552057227e-01,  1.2563852827640069e+02
    51,  3.5134e+00,  7.4015884493974560e-01,  1.6451850127424243e-03, -7.5231565136681544e-01, -2.5203007551941791e-04,  1.2402945802880299e+00,  2.2860802552057227e-01,  1.2563854088757654e+02
    52,  3.5801e+00,  7.4015884493974560e-01,  1.6451850127424243e-03, -7.5231563646565425e-01, -2.5204497668061175e-04,  1.2402945802880299e+00,  2.2860802552057227e-01,  1.2563855138445204e+02
    53,  3.6471e+00,  7.4015884493974560e-01,  1.6451850127424243e-03, -7.5231563646565425e-01, -2.5203007551941791e-04,  1.2402945987698593e+00,  2.2860802552057227e-01,  1.2563853994865445e+02
    54,  3.7153e+00,  7.4015884493974560e-01,  1.6451850127424243e-03, -7.5231563646565425e-01, -2.5203007551941791e-04,  1.2402945802880299e+00,  2.2860804042173347e-01,  1.2563854119326886e+02
    55,  3.7828e+00,  7.4015685481541804e-01,  1.6793854492023043e-03, -7.5231584820143504e-01, -2.2426921134106133e-04,  1.2402968929746472e+00,  2.2860752490211092e-01,  1.2561537836888733e+02
    56,  3.8495e+00,  7.4015686971657924e-01,  1.6793854492023043e-03, -7.5231584820143504e-01, -2.2426921134106133e-04,  1.2402968929746472e+00,  2.2860752490211092e-01,  1.2561537828468911e+02
    57,  3.9154e+00,  7.4015685481541804e-01,  1.6794003503634981e-03, -7.5231584820143504e-01, -2.2426921134106133e-04,  1.2402968929746472e+00,  2.2860752490211092e-01,  1.2561537827759720e+02
    58,  3.9805e+00,  7.4015685481541804e-01,  1.6793854492023043e-03, -7.5231586310259624e-01, -2.2426921134106133e-04,  1.2402968929746472e+00,  2.2860752490211092e-01,  1.2561537852019919e+02
    59,  4.0469e+00,  7.4015685481541804e-01,  1.6793854492023043e-03, -7.5231584820143504e-01, -2.2428411250225517e-04,  1.2402968929746472e+00,  2.2860752490211092e-01,  1.2561537615283375e+02
    60,  4.1150e+00,  7.4015685481541804e-01,  1.6793854492023043e-03, -7.5231584820143504e-01, -2.2426921134106133e-04,  1.2402969114565112e+00,  2.2860752490211092e-01,  1.2561537682445449e+02
    61,  4.1819e+00,  7.4015685481541804e-01,  1.6793854492023043e-03, -7.5231584820143504e-01, -2.2426921134106133e-04,  1.2402968929746472e+00,  2.2860753980327211e-01,  1.2561537877173100e+02
    62,  4.2507e+00,  7.4015824232360661e-01,  1.6817386812430259e-03, -7.5231331912362587e-01, -2.6194108427254783e-04,  1.2403185244047594e+00,  2.2860052546601595e-01,  1.2561282775008522e+02
    63,  4.3165e+00,  7.4015825722476780e-01,  1.6817386812430259e-03, -7.5231331912362587e-01, -2.6194108427254783e-04,  1.2403185244047594e+00,  2.2860052546601595e-01,  1.2561282849509142e+02
    64,  4.3837e+00,  7.4015824232360661e-01,  1.6817535824042197e-03, -7.5231331912362587e-01, -2.6194108427254783e-04,  1.2403185244047594e+00,  2.2860052546601595e-01,  1.2561281511791007e+02
    65,  4.4509e+00,  7.4015824232360661e-01,  1.6817386812430259e-03, -7.5231333402478706e-01, -2.6194108427254783e-04,  1.2403185244047594e+00,  2.2860052546601595e-01,  1.2561282764825201e+02
    66,  4.5180e+00,  7.4015824232360661e-01,  1.6817386812430259e-03, -7.5231331912362587e-01, -2.6195598543374168e-04,  1.2403185244047594e+00,  2.2860052546601595e-01,  1.2561283803555263e+02
    67,  4.5835e+00,  7.4015824232360661e-01,  1.6817386812430259e-03, -7.5231331912362587e-01, -2.6194108427254783e-04,  1.2403185428869457e+00,  2.2860052546601595e-01,  1.2561282669463982e+02
    68,  4.6497e+00,  7.4015824232360661e-01,  1.6817386812430259e-03, -7.5231331912362587e-01, -2.6194108427254783e-04,  1.2403185244047594e+00,  2.2860054036717714e-01,  1.2561282793509375e+02
    69,  4.7186e+00,  7.4015629680290296e-01,  1.7159562591851142e-03, -7.5231348366679784e-01, -2.3419895064130303e-04,  1.2403208497900524e+00,  2.2860002363095586e-01,  1.2561150411161650e+02
    70,  4.7856e+00,  7.4015631170406415e-01,  1.7159562591851142e-03, -7.5231348366679784e-01, -2.3419895064130303e-04,  1.2403208497900524e+00,  2.2860002363095586e-01,  1.2561150401277607e+02
    71,  4.8517e+00,  7.4015629680290296e-01,  1.7159711603463080e-03, -7.5231348366679784e-01, -2.3419895064130303e-04,  1.2403208497900524e+00,  2.2860002363095586e-01,  1.2561150407446895e+02
    72,  4.9181e+00,  7.4015629680290296e-01,  1.7159562591851142e-03, -7.5231349856795904e-01, -2.3419895064130303e-04,  1.2403208497900524e+00,  2.2860002363095586e-01,  1.2561150426857277e+02
    73,  4.9833e+00,  7.4015629680290296e-01,  1.7159562591851142e-03, -7.5231348366679784e-01, -2.3421385180249688e-04,  1.2403208497900524e+00,  2.2860002363095586e-01,  1.2561150185151375e+02
    74,  5.0487e+00,  7.4015629680290296e-01,  1.7159562591851142e-03, -7.5231348366679784e-01, -2.3419895064130303e-04,  1.2403208682722733e+00,  2.2860002363095586e-01,  1.2561150256792634e+02
    75,  5.1146e+00,  7.4015629680290296e-01,  1.7159562591851142e-03, -7.5231348366679784e-01, -2.3419895064130303e-04,  1.2403208497900524e+00,  2.2860003853211705e-01,  1.2561150451426535e+02
    76,  5.1829e+00,  7.4015671009000372e-01,  1.7161633411858419e-03, -7.5231282558627732e-01, -2.4371479124517096e-04,  1.2403261192081403e+00,  2.2859831878450976e-01,  1.2560956957742194e+02
    77,  5.2500e+00,  7.4015672499116492e-01,  1.7161633411858419e-03, -7.5231282558627732e-01, -2.4371479124517096e-04,  1.2403261192081403e+00,  2.2859831878450976e-01,  1.2560956948147550e+02
    78,  5.3163e+00,  7.4015671009000372e-01,  1.7161782423470357e-03, -7.5231282558627732e-01, -2.4371479124517096e-04,  1.2403261192081403e+00,  2.2859831878450976e-01,  1.2560956952447239e+02
    79,  5.3829e+00,  7.4015671009000372e-01,  1.7161633411858419e-03, -7.5231284048743852e-01, -2.4371479124517096e-04,  1.2403261192081403e+00,  2.2859831878450976e-01,  1.2560956973146584e+02
    80,  5.4484e+00,  7.4015671009000372e-01,  1.7161633411858419e-03, -7.5231282558627732e-01, -2.4372969240636481e-04,  1.2403261192081403e+00,  2.2859831878450976e-01,  1.2560956733352450e+02
    81,  5.5138e+00,  7.4015671009000372e-01,  1.7161633411858419e-03, -7.5231282558627732e-01, -2.4371479124517096e-04,  1.2403261376904398e+00,  2.2859831878450976e-01,  1.2560956803359637e+02
    82,  5.5798e+00,  7.4015671009000372e-01,  1.7161633411858419e-03, -7.5231282558627732e-01, -2.4371479124517096e-04,  1.2403261192081403e+00,  2.2859833368567095e-01,  1.2560956998018206e+02
    83,  5.6464e+00,  7.4015750987791828e-01,  1.7168130745996973e-03, -7.5231153457147126e-01, -2.6268161823783052e-04,  1.2403367570943411e+00,  2.2859487621027894e-01,  1.2560573093485259e+02
    84,  5.7128e+00,  7.4015752477907948e-01,  1.7168130745996973e-03, -7.5231153457147126e-01, -2.6268161823783052e-04,  1.2403367570943411e+00,  2.2859487621027894e-01,  1.2560573084454496e+02
    85,  5.7831e+00,  7.4015750987791828e-01,  1.7168279757608911e-03, -7.5231153457147126e-01, -2.6268161823783052e-04,  1.2403367570943411e+00,  2.2859487621027894e-01,  1.2560573085090363e+02
    86,  5.8534e+00,  7.4015750987791828e-01,  1.7168130745996973e-03, -7.5231154947263246e-01, -2.6268161823783052e-04,  1.2403367570943411e+00,  2.2859487621027894e-01,  1.2560573108316851e+02
    87,  5.9244e+00,  7.4015750987791828e-01,  1.7168130745996973e-03, -7.5231153457147126e-01, -2.6269651939902437e-04,  1.2403367570943411e+00,  2.2859487621027894e-01,  1.2560572872283967e+02
    88,  5.9954e+00,  7.4015750987791828e-01,  1.7168130745996973e-03, -7.5231153457147126e-01, -2.6268161823783052e-04,  1.2403367755767991e+00,  2.2859487621027894e-01,  1.2560572939080740e+02
    89,  6.0657e+00,  7.4015750987791828e-01,  1.7168130745996973e-03, -7.5231153457147126e-01, -2.6268161823783052e-04,  1.2403367570943411e+00,  2.2859489111144013e-01,  1.2560573133783092e+02
    90,  6.1371e+00,  7.4015900480581542e-01,  1.7190456639802976e-03, -7.5230905389964309e-01, -3.0034100343573366e-04,  1.2403584170906292e+00,  2.2858786320315488e-01,  1.2560535457209997e+02
    91,  6.2093e+00,  7.4015901970697662e-01,  1.7190456639802976e-03, -7.5230905389964309e-01, -3.0034100343573366e-04,  1.2403584170906292e+00,  2.2858786320315488e-01,  1.2560535531219065e+02
    92,  6.2807e+00,  7.4015900480581542e-01,  1.7190605651414914e-03, -7.5230905389964309e-01, -3.0034100343573366e-04,  1.2403584170906292e+00,  2.2858786320315488e-01,  1.2560534194129629e+02
    93,  6.3520e+00,  7.4015900480581542e-01,  1.7190456639802976e-03, -7.5230906880080428e-01, -3.0034100343573366e-04,  1.2403584170906292e+00,  2.2858786320315488e-01,  1.2560535446583302e+02
    94,  6.4231e+00,  7.4015900480581542e-01,  1.7190456639802976e-03, -7.5230905389964309e-01, -3.0035590459692751e-04,  1.2403584170906292e+00,  2.2858786320315488e-01,  1.2560536486795745e+02
    95,  6.4943e+00,  7.4015900480581542e-01,  1.7190456639802976e-03, -7.5230905389964309e-01, -3.0034100343573366e-04,  1.2403584355734099e+00,  2.2858786320315488e-01,  1.2560535351695029e+02
    96,  6.5661e+00,  7.4015900480581542e-01,  1.7190456639802976e-03, -7.5230905389964309e-01, -3.0034100343573366e-04,  1.2403584170906292e+00,  2.2858787810431608e-01,  1.2560535475727848e+02
    97,  6.6384e+00,  7.4015850893421919e-01,  1.7275851011726460e-03, -7.5230911888846985e-01, -2.9338749727281590e-04,  1.2403589934738628e+00,  2.2858773796496698e-01,  1.2559905689453355e+02
    98,  6.7092e+00,  7.4015852383538039e-01,  1.7275851011726460e-03, -7.5230911888846985e-01, -2.9338749727281590e-04,  1.2403589934738628e+00,  2.2858773796496698e-01,  1.2559905680857571e+02
    99,  6.7797e+00,  7.4015850893421919e-01,  1.7276000023338399e-03, -7.5230911888846985e-01, -2.9338749727281590e-04,  1.2403589934738628e+00,  2.2858773796496698e-01,  1.2559905677932674e+02
   100,  6.8521e+00,  7.4015850893421919e-01,  1.7275851011726460e-03, -7.5230913378963105e-01, -2.9338749727281590e-04,  1.2403589934738628e+00,  2.2858773796496698e-01,  1.2559905703597320e+02
   101,  6.9223e+00,  7.4015850893421919e-01,  1.7275851011726460e-03, -7.5230911888846985e-01, -2.9340239843400975e-04,  1.2403589934738628e+00,  2.2858773796496698e-01,  1.2559905471778421e+02
   102,  6.9930e+00,  7.4015850893421919e-01,  1.7275851011726460e-03, -7.5230911888846985e-01, -2.9338749727281590e-04,  1.2403590119566521e+00,  2.2858773796496698e-01,  1.2559905535036124e+02
   103,  7.0674e+00,  7.4015850893421919e-01,  1.7275851011726460e-03, -7.5230911888846985e-01, -2.9338749727281590e-04,  1.2403589934738628e+00,  2.2858775286612817e-01,  1.2559905729777758e+02
   104,  7.1405e+00,  7.4015887805810443e-01,  1.7281345071657442e-03, -7.5230850992261089e-01, -3.0280365226233202e-04,  1.2403644084290091e+00,  2.2858598394184448e-01,  1.2559898992485667e+02
   105,  7.2122e+00,  7.4015889295926562e-01,  1.7281345071657442e-03, -7.5230850992261089e-01, -3.0280365226233202e-04,  1.2403644084290091e+00,  2.2858598394184448e-01,  1.2559899065941049e+02
   106,  7.2852e+00,  7.4015887805810443e-01,  1.7281494083269380e-03, -7.5230850992261089e-01, -3.0280365226233202e-04,  1.2403644084290091e+00,  2.2858598394184448e-01,  1.2559897731861670e+02
   107,  7.3554e+00,  7.4015887805810443e-01,  1.7281345071657442e-03, -7.5230852482377208e-01, -3.0280365226233202e-04,  1.2403644084290091e+00,  2.2858598394184448e-01,  1.2559898982303190e+02
   108,  7.4260e+00,  7.4015887805810443e-01,  1.7281345071657442e-03, -7.5230850992261089e-01, -3.0281855342352586e-04,  1.2403644084290091e+00,  2.2858598394184448e-01,  1.2559900019784699e+02
   109,  7.4956e+00,  7.4015887805810443e-01,  1.7281345071657442e-03, -7.5230850992261089e-01, -3.0280365226233202e-04,  1.2403644269118790e+00,  2.2858598394184448e-01,  1.2559898887048701e+02
   110,  7.5657e+00,  7.4015887805810443e-01,  1.7281345071657442e-03, -7.5230850992261089e-01, -3.0280365226233202e-04,  1.2403644084290091e+00,  2.2858599884300568e-01,  1.2559899010976201e+02
   111,  7.6365e+00,  7.4015875396880015e-01,  1.7302689301502772e-03, -7.5230852673441617e-01, -3.0106474646409722e-04,  1.2403645524330740e+00,  2.2858595263199877e-01,  1.2559739648102382e+02
   112,  7.7084e+00,  7.4015876886996135e-01,  1.7302689301502772e-03, -7.5230852673441617e-01, -3.0106474646409722e-04,  1.2403645524330740e+00,  2.2858595263199877e-01,  1.2559739639616559e+02
   113,  7.7794e+00,  7.4015875396880015e-01,  1.7302838313114710e-03, -7.5230852673441617e-01, -3.0106474646409722e-04,  1.2403645524330740e+00,  2.2858595263199877e-01,  1.2559739635797970e+02
   114,  7.8496e+00,  7.4015875396880015e-01,  1.7302689301502772e-03, -7.5230854163557737e-01, -3.0106474646409722e-04,  1.2403645524330740e+00,  2.2858595263199877e-01,  1.2559739662073984e+02
   115,  7.9183e+00,  7.4015875396880015e-01,  1.7302689301502772e-03, -7.5230852673441617e-01, -3.0107964762529106e-04,  1.2403645524330740e+00,  2.2858595263199877e-01,  1.2559739431310116e+02
   116,  7.9870e+00,  7.4015875396880015e-01,  1.7302689301502772e-03, -7.5230852673441617e-01, -3.0106474646409722e-04,  1.2403645709159461e+00,  2.2858595263199877e-01,  1.2559739493683604e+02
   117,  8.0565e+00,  7.4015875396880015e-01,  1.7302689301502772e-03, -7.5230852673441617e-01, -3.0106474646409722e-04,  1.2403645524330740e+00,  2.2858596753315996e-01,  1.2559739688433393e+02
   118,  8.1250e+00,  7.4015884594664694e-01,  1.7304057537529832e-03, -7.5230837520119154e-01, -3.0341887032779487e-04,  1.2403659061611849e+00,  2.2858551407616787e-01,  1.2559740102409444e+02
   119,  8.1928e+00,  7.4015877700247823e-01,  1.7303025465815528e-03, -7.5230848880546308e-01, -3.0165346140410859e-04,  1.2403648906221316e+00,  2.2858584307274316e-01,  1.2559727886434158e+02
   120,  8.2612e+00,  7.4015879190363942e-01,  1.7303025465815528e-03, -7.5230848880546308e-01, -3.0165346140410859e-04,  1.2403648906221316e+00,  2.2858584307274316e-01,  1.2559727877963336e+02
   121,  8.3286e+00,  7.4015877700247823e-01,  1.7303174477427466e-03, -7.5230848880546308e-01, -3.0165346140410859e-04,  1.2403648906221316e+00,  2.2858584307274316e-01,  1.2559727874036641e+02
   122,  8.3958e+00,  7.4015877700247823e-01,  1.7303025465815528e-03, -7.5230850370662428e-01, -3.0165346140410859e-04,  1.2403648906221316e+00,  2.2858584307274316e-01,  1.2559727900388296e+02
   123,  8.4631e+00,  7.4015877700247823e-01,  1.7303025465815528e-03, -7.5230848880546308e-01, -3.0166836256530243e-04,  1.2403648906221316e+00,  2.2858584307274316e-01,  1.2559727669738642e+02
   124,  8.5321e+00,  7.4015877700247823e-01,  1.7303025465815528e-03, -7.5230848880546308e-01, -3.0165346140410859e-04,  1.2403649091050089e+00,  2.2858584307274316e-01,  1.2559727732013768e+02
   125,  8.6171e+00,  7.4015877700247823e-01,  1.7303025465815528e-03, -7.5230848880546308e-01, -3.0165346140410859e-04,  1.2403648906221316e+00,  2.2858585797390435e-01,  1.2559727926765827e+02
   126,  8.6994e+00,  7.4015882297645752e-01,  1.7303706991604584e-03, -7.5230841304937501e-01, -3.0283060787482743e-04,  1.2403655673787590e+00,  2.2858562382957107e-01,  1.2559704467623311e+02
   127,  8.7738e+00,  7.4015883787761871e-01,  1.7303706991604584e-03, -7.5230841304937501e-01, -3.0283060787482743e-04,  1.2403655673787590e+00,  2.2858562382957107e-01,  1.2559704540906591e+02
   128,  8.8722e+00,  7.4015882297645752e-01,  1.7303856003216523e-03, -7.5230841304937501e-01, -3.0283060787482743e-04,  1.2403655673787590e+00,  2.2858562382957107e-01,  1.2559704361476231e+02
   129,  8.9516e+00,  7.4015882297645752e-01,  1.7303706991604584e-03, -7.5230842795053621e-01, -3.0283060787482743e-04,  1.2403655673787590e+00,  2.2858562382957107e-01,  1.2559704457595249e+02
   130,  9.0262e+00,  7.4015882297645752e-01,  1.7303706991604584e-03, -7.5230841304937501e-01, -3.0284550903602128e-04,  1.2403655673787590e+00,  2.2858562382957107e-01,  1.2559705494145012e+02
   131,  9.1126e+00,  7.4015882297645752e-01,  1.7303706991604584e-03, -7.5230841304937501e-01, -3.0283060787482743e-04,  1.2403655858616462e+00,  2.2858562382957107e-01,  1.2559704362210611e+02
   132,  9.1859e+00,  7.4015882297645752e-01,  1.7303706991604584e-03, -7.5230841304937501e-01, -3.0283060787482743e-04,  1.2403655673787590e+00,  2.2858563873073226e-01,  1.2559704486104495e+02
   133,  9.2568e+00,  7.4015862841797786e-01,  1.7306519008282264e-03, -7.5230843919471779e-01, -3.0010190319080903e-04,  1.2403657934278596e+00,  2.2858557468983026e-01,  1.2559741949340540e+02
