Problem type:
least_squares
nparams:
7
function_evaluation,seconds,x(0),x(1),x(2),x(3),x(4),x(5),x(6),objective_function
   119,  9.3176e+00,  3.1709911028841381e-01,  1.8450879628047150e+00,  3.9937328152336604e-01, -4.9269147751018406e-02, -6.8602671346695482e-02, -1.5309926600775242e-01,  4.6689426275759072e+00,  1.1070674305991864e+02
   120,  9.4017e+00,  3.1709911028841381e-01,  1.8450879628047150e+00,  3.9937328152336604e-01, -4.9269147751018406e-02, -6.8602656445534288e-02, -1.5309928090891362e-01,  4.6689426275759072e+00,  1.1070674305663871e+02
   121,  9.4839e+00,  3.1709911028841381e-01,  1.8450879628047150e+00,  3.9937328152336604e-01, -4.9269147751018406e-02, -6.8602656445534288e-02, -1.5309926600775242e-01,  4.6689426971485739e+00,  1.1070674307256148e+02
   122,  9.5597e+00,  3.1728464122745126e-01,  1.8445321285999823e+00,  3.9794869651108972e-01, -5.0472407925702484e-02, -6.7752257167111668e-02, -1.5328727584722979e-01,  4.6698036133799370e+00,  1.1070578862298731e+02
   123,  9.6412e+00,  3.1728465612861245e-01,  1.8445321285999823e+00,  3.9794869651108972e-01, -5.0472407925702484e-02, -6.7752257167111668e-02, -1.5328727584722979e-01,  4.6698036133799370e+00,  1.1070578864038912e+02
   124,  9.7222e+00,  3.1728464122745126e-01,  1.8445321560856529e+00,  3.9794869651108972e-01, -5.0472407925702484e-02, -6.7752257167111668e-02, -1.5328727584722979e-01,  4.6698036133799370e+00,  1.1070578861996731e+02
   125,  9.8058e+00,  3.1728464122745126e-01,  1.8445321285999823e+00,  3.9794871141225091e-01, -5.0472407925702484e-02, -6.7752257167111668e-02, -1.5328727584722979e-01,  4.6698036133799370e+00,  1.1070578856890718e+02
   126,  9.8869e+00,  3.1728464122745126e-01,  1.8445321285999823e+00,  3.9794869651108972e-01, -5.0472422826863678e-02, -6.7752257167111668e-02, -1.5328727584722979e-01,  4.6698036133799370e+00,  1.1070578862075884e+02
   127,  9.9686e+00,  3.1728464122745126e-01,  1.8445321285999823e+00,  3.9794869651108972e-01, -5.0472407925702484e-02, -6.7752272068272862e-02, -1.5328727584722979e-01,  4.6698036133799370e+00,  1.1070578862502884e+02
   128,  1.0051e+01,  3.1728464122745126e-01,  1.8445321285999823e+00,  3.9794869651108972e-01, -5.0472407925702484e-02, -6.7752257167111668e-02, -1.5328729074839098e-01,  4.6698036133799370e+00,  1.1070578862240576e+02
   129,  1.0135e+01,  3.1728464122745126e-01,  1.8445321285999823e+00,  3.9794869651108972e-01, -5.0472407925702484e-02, -6.7752257167111668e-02, -1.5328727584722979e-01,  4.6698036829654335e+00,  1.1070578859161012e+02
   130,  1.0222e+01,  3.1720224700866168e-01,  1.8455221925309708e+00,  3.9909118858045350e-01, -5.1517525307046001e-02, -6.6721750880085612e-02, -1.5368041838392571e-01,  4.6706517855081380e+00,  1.1070512653544513e+02
   131,  1.0318e+01,  3.1720226190982287e-01,  1.8455221925309708e+00,  3.9909118858045350e-01, -5.1517525307046001e-02, -6.6721750880085612e-02, -1.5368041838392571e-01,  4.6706517855081380e+00,  1.1070512652367317e+02
   132,  1.0418e+01,  3.1720224700866168e-01,  1.8455222200313945e+00,  3.9909118858045350e-01, -5.1517525307046001e-02, -6.6721750880085612e-02, -1.5368041838392571e-01,  4.6706517855081380e+00,  1.1070512653754668e+02
   133,  1.0518e+01,  3.1720224700866168e-01,  1.8455221925309708e+00,  3.9909120348161470e-01, -5.1517525307046001e-02, -6.6721750880085612e-02, -1.5368041838392571e-01,  4.6706517855081380e+00,  1.1070512658423249e+02
   134,  1.0611e+01,  3.1720224700866168e-01,  1.8455221925309708e+00,  3.9909118858045350e-01, -5.1517540208207195e-02, -6.6721750880085612e-02, -1.5368041838392571e-01,  4.6706517855081380e+00,  1.1070512653290115e+02
   135,  1.0691e+01,  3.1720224700866168e-01,  1.8455221925309708e+00,  3.9909118858045350e-01, -5.1517525307046001e-02, -6.6721765781246806e-02, -1.5368041838392571e-01,  4.6706517855081380e+00,  1.1070512653739604e+02
   136,  1.0770e+01,  3.1720224700866168e-01,  1.8455221925309708e+00,  3.9909118858045350e-01, -5.1517525307046001e-02, -6.6721750880085612e-02, -1.5368043328508690e-01,  4.6706517855081380e+00,  1.1070512653472788e+02
   137,  1.0846e+01,  3.1720224700866168e-01,  1.8455221925309708e+00,  3.9909118858045350e-01, -5.1517525307046001e-02, -6.6721750880085612e-02, -1.5368041838392571e-01,  4.6706518551062732e+00,  1.1070512654921548e+02
   138,  1.0924e+01,  3.1728628934653574e-01,  1.8454291381287533e+00,  3.9853434197984400e-01, -5.1579367262971250e-02, -6.6673196588934572e-02, -1.5369171873242157e-01,  4.6706313010557325e+00,  1.1070418619464780e+02
   139,  1.1000e+01,  3.1728630424769694e-01,  1.8454291381287533e+00,  3.9853434197984400e-01, -5.1579367262971250e-02, -6.6673196588934572e-02, -1.5369171873242157e-01,  4.6706313010557325e+00,  1.1070418619848017e+02
   140,  1.1076e+01,  3.1728628934653574e-01,  1.8454291656277904e+00,  3.9853434197984400e-01, -5.1579367262971250e-02, -6.6673196588934572e-02, -1.5369171873242157e-01,  4.6706313010557325e+00,  1.1070418619940125e+02
   141,  1.1153e+01,  3.1728628934653574e-01,  1.8454291381287533e+00,  3.9853435688100519e-01, -5.1579367262971250e-02, -6.6673196588934572e-02, -1.5369171873242157e-01,  4.6706313010557325e+00,  1.1070418619340411e+02
   142,  1.1232e+01,  3.1728628934653574e-01,  1.8454291381287533e+00,  3.9853434197984400e-01, -5.1579382164132444e-02, -6.6673196588934572e-02, -1.5369171873242157e-01,  4.6706313010557325e+00,  1.1070418619240940e+02
   143,  1.1311e+01,  3.1728628934653574e-01,  1.8454291381287533e+00,  3.9853434197984400e-01, -5.1579367262971250e-02, -6.6673211490095766e-02, -1.5369171873242157e-01,  4.6706313010557325e+00,  1.1070418619661964e+02
   144,  1.1391e+01,  3.1728628934653574e-01,  1.8454291381287533e+00,  3.9853434197984400e-01, -5.1579367262971250e-02, -6.6673196588934572e-02, -1.5369173363358277e-01,  4.6706313010557325e+00,  1.1070418619414751e+02
   145,  1.1470e+01,  3.1728628934653574e-01,  1.8454291381287533e+00,  3.9853434197984400e-01, -5.1579367262971250e-02, -6.6673196588934572e-02, -1.5369171873242157e-01,  4.6706313706535623e+00,  1.1070418618917117e+02
   146,  1.1547e+01,  3.1724603291732018e-01,  1.8451679667541518e+00,  3.9851911948985186e-01, -5.1928934897208387e-02, -6.6358777269124813e-02, -1.5376185232979248e-01,  4.6708223274362251e+00,  1.1070403688224532e+02
   147,  1.1625e+01,  3.1724604781848137e-01,  1.8451679667541518e+00,  3.9851911948985186e-01, -5.1928934897208387e-02, -6.6358777269124813e-02, -1.5376185232979248e-01,  4.6708223274362251e+00,  1.1070403688178624e+02
   148,  1.1703e+01,  3.1724603291732018e-01,  1.8451679942492971e+00,  3.9851911948985186e-01, -5.1928934897208387e-02, -6.6358777269124813e-02, -1.5376185232979248e-01,  4.6708223274362251e+00,  1.1070403688481875e+02
   149,  1.1781e+01,  3.1724603291732018e-01,  1.8451679667541518e+00,  3.9851913439101305e-01, -5.1928934897208387e-02, -6.6358777269124813e-02, -1.5376185232979248e-01,  4.6708223274362251e+00,  1.1070403688220273e+02
   150,  1.1860e+01,  3.1724603291732018e-01,  1.8451679667541518e+00,  3.9851911948985186e-01, -5.1928949798369581e-02, -6.6358777269124813e-02, -1.5376185232979248e-01,  4.6708223274362251e+00,  1.1070403688007465e+02
   151,  1.1938e+01,  3.1724603291732018e-01,  1.8451679667541518e+00,  3.9851911948985186e-01, -5.1928934897208387e-02, -6.6358792170286007e-02, -1.5376185232979248e-01,  4.6708223274362251e+00,  1.1070403688419188e+02
   152,  1.2017e+01,  3.1724603291732018e-01,  1.8451679667541518e+00,  3.9851911948985186e-01, -5.1928934897208387e-02, -6.6358777269124813e-02, -1.5376186723095367e-01,  4.6708223274362251e+00,  1.1070403688181078e+02
   153,  1.2096e+01,  3.1724603291732018e-01,  1.8451679667541518e+00,  3.9851911948985186e-01, -5.1928934897208387e-02, -6.6358777269124813e-02, -1.5376185232979248e-01,  4.6708223970369014e+00,  1.1070403687652139e+02
   154,  1.2179e+01,  3.1723980502293270e-01,  1.8449334803558493e+00,  3.9846043969981898e-01, -5.2667422201802747e-02, -6.5661389952787086e-02, -1.5387978417119846e-01,  4.6712977557258286e+00,  1.1070378693517623e+02
   155,  1.2258e+01,  3.1723981992409389e-01,  1.8449334803558493e+00,  3.9846043969981898e-01, -5.2667422201802747e-02, -6.5661389952787086e-02, -1.5387978417119846e-01,  4.6712977557258286e+00,  1.1070378693550424e+02
   156,  1.2338e+01,  3.1723980502293270e-01,  1.8449335078475004e+00,  3.9846043969981898e-01, -5.2667422201802747e-02, -6.5661389952787086e-02, -1.5387978417119846e-01,  4.6712977557258286e+00,  1.1070378693602169e+02
   157,  1.2416e+01,  3.1723980502293270e-01,  1.8449334803558493e+00,  3.9846045460098017e-01, -5.2667422201802747e-02, -6.5661389952787086e-02, -1.5387978417119846e-01,  4.6712977557258286e+00,  1.1070378693403110e+02
   158,  1.2494e+01,  3.1723980502293270e-01,  1.8449334803558493e+00,  3.9846043969981898e-01, -5.2667437102963940e-02, -6.5661389952787086e-02, -1.5387978417119846e-01,  4.6712977557258286e+00,  1.1070378693316736e+02
   159,  1.2573e+01,  3.1723980502293270e-01,  1.8449334803558493e+00,  3.9846043969981898e-01, -5.2667422201802747e-02, -6.5661404853948280e-02, -1.5387978417119846e-01,  4.6712977557258286e+00,  1.1070378693707556e+02
   160,  1.2653e+01,  3.1723980502293270e-01,  1.8449334803558493e+00,  3.9846043969981898e-01, -5.2667422201802747e-02, -6.5661389952787086e-02, -1.5387979907235966e-01,  4.6712977557258286e+00,  1.1070378693484844e+02
   161,  1.2734e+01,  3.1723980502293270e-01,  1.8449334803558493e+00,  3.9846043969981898e-01, -5.2667422201802747e-02, -6.5661389952787086e-02, -1.5387978417119846e-01,  4.6712978253335891e+00,  1.1070378692885019e+02
   162,  1.2819e+01,  3.1724008616629595e-01,  1.8447348805290711e+00,  3.9839438643131386e-01, -5.4085839891907850e-02, -6.4154892798728061e-02, -1.5400646368745588e-01,  4.6722872904456585e+00,  1.1070333930435962e+02
   163,  1.2898e+01,  3.1724010106745715e-01,  1.8447348805290711e+00,  3.9839438643131386e-01, -5.4085839891907850e-02, -6.4154892798728061e-02, -1.5400646368745588e-01,  4.6722872904456585e+00,  1.1070333930498185e+02
   164,  1.2977e+01,  3.1724008616629595e-01,  1.8447349080177629e+00,  3.9839438643131386e-01, -5.4085839891907850e-02, -6.4154892798728061e-02, -1.5400646368745588e-01,  4.6722872904456585e+00,  1.1070333930472553e+02
   165,  1.3056e+01,  3.1724008616629595e-01,  1.8447348805290711e+00,  3.9839440133247506e-01, -5.4085839891907850e-02, -6.4154892798728061e-02, -1.5400646368745588e-01,  4.6722872904456585e+00,  1.1070333930446107e+02
   166,  1.3136e+01,  3.1724008616629595e-01,  1.8447348805290711e+00,  3.9839438643131386e-01, -5.4085854793069044e-02, -6.4154892798728061e-02, -1.5400646368745588e-01,  4.6722872904456585e+00,  1.1070333930264610e+02
   167,  1.3217e+01,  3.1724008616629595e-01,  1.8447348805290711e+00,  3.9839438643131386e-01, -5.4085839891907850e-02, -6.4154907699889255e-02, -1.5400646368745588e-01,  4.6722872904456585e+00,  1.1070333930616295e+02
   168,  1.3297e+01,  3.1724008616629595e-01,  1.8447348805290711e+00,  3.9839438643131386e-01, -5.4085839891907850e-02, -6.4154892798728061e-02, -1.5400647858861707e-01,  4.6722872904456585e+00,  1.1070333930419663e+02
   169,  1.3380e+01,  3.1724008616629595e-01,  1.8447348805290711e+00,  3.9839438643131386e-01, -5.4085839891907850e-02, -6.4154892798728061e-02, -1.5400646368745588e-01,  4.6722873600681645e+00,  1.1070333929954698e+02
