------ Plasma information from VMEC ----
np     iota_edge       phip_edge       curpol
     2  0.000000000000E+00  0.000000000000E+00  3.320481719474E+00

------ Current Surface: Coil-Plasma separation =   2.000000000000E-01 -----
Number of fourier modes in table
        1201
Table of fourier coefficients
m,n,crc2,czs2,crs2,czc2
      1    12 -1.539277428027E-06 -1.520523615489E-07  0.000000000000E+00  0.000000000000E+00
      1    11 -4.628276193297E-07 -5.507792187610E-07  0.000000000000E+00  0.000000000000E+00
      1    10  1.008639540133E-06  2.342071343882E-06  0.000000000000E+00  0.000000000000E+00
      1     9  3.928488141618E-06  1.079342669433E-05  0.000000000000E+00  0.000000000000E+00
      1     8  1.023116840418E-05  1.218357488323E-05  0.000000000000E+00  0.000000000000E+00
      1     7  2.385348645570E-05 -2.515477968651E-05  0.000000000000E+00  0.000000000000E+00
      1     6  4.068136732136E-05 -9.962065181251E-05  0.000000000000E+00  0.000000000000E+00
      1     5  2.510977907104E-04 -1.335145759331E-04  0.000000000000E+00  0.000000000000E+00
      1     4 -7.079244987856E-04  6.576463504489E-04  0.000000000000E+00  0.000000000000E+00
      1     3  2.615135828526E-03 -2.068632053275E-03  0.000000000000E+00  0.000000000000E+00
      1     2 -1.801594077786E-02  1.538962661895E-02  0.000000000000E+00  0.000000000000E+00
      1     1  6.884855311114E-02  2.651175086708E-03  0.000000000000E+00  0.000000000000E+00
      1     0  3.666796922360E-01  3.682692279780E-01  0.000000000000E+00  0.000000000000E+00
      1    -1 -4.650307565893E-02 -4.095760170621E-02  0.000000000000E+00  0.000000000000E+00
      1    -2  6.310893300714E-03  5.897504680892E-03  0.000000000000E+00  0.000000000000E+00
      1    -3 -8.283992569914E-04 -7.050688891138E-04  0.000000000000E+00  0.000000000000E+00
      1    -4  1.007296525088E-04  1.102345142131E-04  0.000000000000E+00  0.000000000000E+00
      1    -5 -1.378746960863E-04 -6.603958653045E-05  0.000000000000E+00  0.000000000000E+00
      1    -6  1.030746059472E-05  7.714787312516E-05  0.000000000000E+00  0.000000000000E+00
      1    -7 -2.524428898133E-05  1.868281578003E-05  0.000000000000E+00  0.000000000000E+00
      1    -8 -2.367605692972E-05  2.974378573851E-06  0.000000000000E+00  0.000000000000E+00
      1    -9 -9.180316356450E-06  3.076371188984E-06  0.000000000000E+00  0.000000000000E+00
      1   -10 -2.575418966114E-06  2.480776893549E-06  0.000000000000E+00  0.000000000000E+00
      1   -11  5.044474079300E-07  2.489818416332E-06  0.000000000000E+00  0.000000000000E+00
      1   -12  8.315126524957E-07  1.624709511647E-06  0.000000000000E+00  0.000000000000E+00
