------ Plasma information from VMEC ----
np     iota_edge       phip_edge       curpol
     3  0.000000000000E+00  0.000000000000E+00  2.137551727897E+00

------ Current Surface: Coil-Plasma separation =   1.700000000000E-01 -----
Number of fourier modes in table
        1201
Table of fourier coefficients
m,n,crc2,czs2,crs2,czc2
      0   -24 -1.984771900917E-08  7.231909752623E-08  0.000000000000E+00  0.000000000000E+00
      1    24 -7.320284687375E-08 -8.745198667542E-08  0.000000000000E+00  0.000000000000E+00
      1    23  1.592584256050E-07  1.520615803165E-07  0.000000000000E+00  0.000000000000E+00
      1    22 -1.928345759762E-07 -1.604183787764E-07  0.000000000000E+00  0.000000000000E+00
      1    21  1.965178016260E-07  1.015456982425E-07  0.000000000000E+00  0.000000000000E+00
      1    20 -7.428087164146E-08  5.234244477668E-08  0.000000000000E+00  0.000000000000E+00
      1    19 -1.664492022936E-07 -3.422912387082E-07  0.000000000000E+00  0.000000000000E+00
      1    18  4.849964187134E-07  7.474264913639E-07  0.000000000000E+00  0.000000000000E+00
      1    17 -1.007786678232E-06 -1.277943278664E-06  0.000000000000E+00  0.000000000000E+00
      1    16  1.410638405850E-06  1.870275819731E-06  0.000000000000E+00  0.000000000000E+00
      1    15 -1.041819164871E-06 -2.531447470138E-06  0.000000000000E+00  0.000000000000E+00
      1    14  4.077189748362E-07  3.583202632905E-06  0.000000000000E+00  0.000000000000E+00
      1    13  1.441587224753E-06 -5.962719295777E-06  0.000000000000E+00  0.000000000000E+00
      1    12 -1.645624859529E-06  7.241698222533E-06  0.000000000000E+00  0.000000000000E+00
      1    11 -4.368974216116E-06 -5.305155956678E-06  0.000000000000E+00  0.000000000000E+00
      1    10  8.136548273317E-06 -3.835581388058E-06  0.000000000000E+00  0.000000000000E+00
      1     9 -2.503154410517E-05  3.272048696772E-05  0.000000000000E+00  0.000000000000E+00
      1     8  3.419595335817E-05 -2.698626664286E-05  0.000000000000E+00  0.000000000000E+00
      1     7  8.392362010718E-06  3.561701110557E-05  0.000000000000E+00  0.000000000000E+00
      1     6  3.912478223002E-05 -1.003743210544E-04  0.000000000000E+00  0.000000000000E+00
      1     5 -1.762836076690E-05  5.950228538572E-04  0.000000000000E+00  0.000000000000E+00
      1     4 -1.016624830462E-03 -6.977372263791E-04  0.000000000000E+00  0.000000000000E+00
      1     3  3.728804701413E-04  1.471239749748E-03  0.000000000000E+00  0.000000000000E+00
      1     2 -1.434584843819E-04  5.955508275178E-03  0.000000000000E+00  0.000000000000E+00
      1     1 -3.258596337112E-02 -7.550035065393E-03  0.000000000000E+00  0.000000000000E+00
      1     0  2.631021413844E-01  2.756540634089E-01  0.000000000000E+00  0.000000000000E+00
      1    -1  2.230478735295E-02  2.479630463731E-02  0.000000000000E+00  0.000000000000E+00
      1    -2  2.626540985905E-03  1.770627303580E-03  0.000000000000E+00  0.000000000000E+00
      1    -3  3.619324479069E-05 -1.889215793181E-04  0.000000000000E+00  0.000000000000E+00
      1    -4 -2.020037945114E-04  2.177300254855E-04  0.000000000000E+00  0.000000000000E+00
      1    -5  2.779987076278E-04 -1.287006368933E-04  0.000000000000E+00  0.000000000000E+00
      1    -6 -2.814024819770E-04 -1.432410248038E-05  0.000000000000E+00  0.000000000000E+00
      1    -7  1.611494454343E-04 -4.511378078197E-05  0.000000000000E+00  0.000000000000E+00
      1    -8 -1.204282739563E-04  5.519339207564E-06  0.000000000000E+00  0.000000000000E+00
      1    -9  3.631965936465E-05  8.371074660608E-07  0.000000000000E+00  0.000000000000E+00
