------ Plasma information from VMEC ----
np     iota_edge       phip_edge       curpol
     5  0.000000000000E+00  0.000000000000E+00  1.547114382868E+00

------ Current Surface: Coil-Plasma separation =   1.000000000000E-01 -----
Number of fourier modes in table
        1201
Table of fourier coefficients
m,n,crc2,czs2,crs2,czc2
      1    -3 -3.131056410536E-03  3.249123767405E-03  0.000000000000E+00  0.000000000000E+00
      1    -4 -1.095998637189E-03  9.581986974305E-04  0.000000000000E+00  0.000000000000E+00
      1    -5 -1.326255983440E-05 -1.094105709429E-04  0.000000000000E+00  0.000000000000E+00
      1    -6  1.942958377516E-04 -1.021304949603E-04  0.000000000000E+00  0.000000000000E+00
      1    -7  1.607685817002E-04  2.123857281616E-05  0.000000000000E+00  0.000000000000E+00
      1    -8 -1.139541864110E-04 -5.972898396861E-05  0.000000000000E+00  0.000000000000E+00
      1    -9  5.313714546413E-05  9.662806856823E-06  0.000000000000E+00  0.000000000000E+00
      1   -10  2.634331630365E-05 -6.071487436869E-05  0.000000000000E+00  0.000000000000E+00
      1   -11 -6.891657561232E-05  8.837820907516E-05  0.000000000000E+00  0.000000000000E+00
      1   -12  2.621439158411E-05 -2.649588129328E-05  0.000000000000E+00  0.000000000000E+00
      1   -13 -1.584580582902E-05  1.577455356913E-05  0.000000000000E+00  0.000000000000E+00
      1   -14  4.495835399138E-06  7.418249913575E-07  0.000000000000E+00  0.000000000000E+00
      1   -15 -1.554524247230E-06 -5.887547420870E-07  0.000000000000E+00  0.000000000000E+00
      1   -16 -6.229086290840E-06  2.783501156840E-06  0.000000000000E+00  0.000000000000E+00
      1   -17  6.432785769093E-06  2.078905328889E-06  0.000000000000E+00  0.000000000000E+00
      1   -18  2.181725556215E-06 -5.282307376662E-06  0.000000000000E+00  0.000000000000E+00
      1   -19 -4.064440104416E-06  3.530557751644E-06  0.000000000000E+00  0.000000000000E+00
      1   -20 -1.234112607393E-06 -3.285757967880E-06  0.000000000000E+00  0.000000000000E+00
      1   -21  2.989238425497E-06 -2.088463865409E-06  0.000000000000E+00  0.000000000000E+00
      1   -22  8.488201620210E-07 -4.438729395022E-07  0.000000000000E+00  0.000000000000E+00
      1   -23  9.686239513130E-07  1.115793224184E-06  0.000000000000E+00  0.000000000000E+00
      1   -24  8.020829851994E-07  1.353700751935E-07  0.000000000000E+00  0.000000000000E+00
      2    24 -2.755035716661E-07 -1.945174384312E-06  0.000000000000E+00  0.000000000000E+00
      2    23  8.914146071602E-07 -1.581782885223E-06  0.000000000000E+00  0.000000000000E+00
      2    22  2.313478280162E-06  5.774617797660E-07  0.000000000000E+00  0.000000000000E+00
      2    21  8.045783441649E-07  2.673288463619E-07  0.000000000000E+00  0.000000000000E+00
      2    20  7.444963729447E-07  2.879669135716E-06  0.000000000000E+00  0.000000000000E+00
      2    19 -2.340032795054E-06  6.831662624395E-07  0.000000000000E+00  0.000000000000E+00
      2    18 -3.153913177353E-06  6.638945740450E-07  0.000000000000E+00  0.000000000000E+00
      2    17 -1.491375843807E-06 -4.718188796720E-06  0.000000000000E+00  0.000000000000E+00
      2    16  6.801369889967E-06  3.528715022804E-06  0.000000000000E+00  0.000000000000E+00
      2    15  1.570061115884E-06 -1.149578839605E-06  0.000000000000E+00  0.000000000000E+00
      2    14 -8.502553987215E-06 -3.373497380025E-06  0.000000000000E+00  0.000000000000E+00
      2    13  3.690104514097E-06  3.490875595445E-06  0.000000000000E+00  0.000000000000E+00
      2    12  4.062881667449E-06 -3.275082746579E-07  0.000000000000E+00  0.000000000000E+00
      2    11 -1.139891245538E-05 -8.151493752040E-06  0.000000000000E+00  0.000000000000E+00
      2    10  1.164793744662E-05  1.074943048164E-05  0.000000000000E+00  0.000000000000E+00
      2     9 -3.025849319743E-05 -2.178282551484E-05  0.000000000000E+00  0.000000000000E+00
      2     8  3.140929390951E-05  1.028054658262E-05  0.000000000000E+00  0.000000000000E+00
      2     7 -5.727333552277E-06 -8.396253783823E-07  0.000000000000E+00  0.000000000000E+00
